id,label,name,degree
2046717060284365437,review,review,2
-3365402510077576223,vuejs,vuejs,2
-3473508732087881092,jmeter,jmeter,3
-3268067683072787167,app,app,43
2354168319435882442,seo,seo,1
-9096232754884560930,mysql,mysql,81
3193173518988490583,axure,axure,7
-6174967750217613587,dubbo,dubbo,11
2811838510934669772,ajax,ajax,39
-9045514412949687915,d,d,5
-6148556074643278874,service,service,2
-4060513158963513109,css,css,58
7487564815517957247,work,work,1
-6026813875032476846,sql,sql,52
2435365756379674207,golang,golang,5
-4050477985649184306,photoshop,photoshop,25
-6944071657116387530,nosql,nosql,5
-9189283624875180872,http,http,44
-2479076574622892161,dom,dom,12
1960646417337105237,tomcat,tomcat,29
8458982604760233040,framework,framework,1
4357639940090376395,reactjs,reactjs,3
-2337037304635902232,lnmp,lnmp,4
7519427517373691798,mongodb,mongodb,28
-2158435871750802565,tcp,tcp,23
810443090478841200,iphone,iphone,2
2635032086943250720,zepto,zepto,1
-8297720995641411256,store,store,1
6059137422770648348,kafka,kafka,11
-464204487869910793,io,io,8
-3304550021239131016,jquery,jquery,52
-7759278799329347035,asp,asp,6
-2952728705836369114,powerpoint,powerpoint,2
-8745505558082406655,redis,redis,57
-640714437086923058,indesign,indesign,1
7269339539335429768,pr,pr,2
865030606091400331,sqlserver,sqlserver,7
-3296130994422989526,coreldraw,coreldraw,2
3479339888868143140,cdr,cdr,2
-1043076841826534975,xhtml,xhtml,9
-8984704452568796311,sketch,sketch,7
-4387858203142964056,android,android,8
-273033171021384035,html,html,58
-3810326145888079572,hibernate,hibernate,23
-9054730520840161619,j2ee,j2ee,22
-8481753544240448093,hive,hive,5
3142100258669736279,django,django,5
-7784712059813151204,java,java,90
5459520483848108657,loadrunner,loadrunner,1
-6294258839182494498,sas,sas,1
-4666453782075787270,mvc,mvc,34
-6657017815155132421,soa,soa,3
5669528293118392224,www,www,4
-1985366962235755618,postgresql,postgresql,1
6037207175837857529,mvvm,mvvm,7
5269705119417905242,ai,ai,10
-4876003296321717233,pc,pc,18
6405593197437662758,ruby,ruby,3
1768082660194401914,elasticsearch,elasticsearch,4
2707166451744194534,shell,shell,26
-2179786877876424548,php,php,42
-5279551511944939224,ae,ae,6
-2159223491519827085,struts2,struts2,2
-560123512857411715,perl,perl,5
-4999257352771650151,git,git,29
-6659696680396705782,flash,flash,8
-6835537133953598467,cloud,cloud,6
7341486337184709423,html5,html5,43
-5264754114606649098,apache,apache,16
2754757901767751842,lamp,lamp,2
-8445470335412454848,ibatis,ibatis,8
2176853502720618633,typescript,typescript,1
5074974895441262076,json,json,28
-5414993972319602247,w3c,w3c,14
-6806691435797463535,oracle,oracle,43
622694523106574329,ee,ee,1
4871551355561784252,unity,unity,1
3645692567939266464,js,js,45
-8476437303145384835,api,api,18
457644081920749895,laravel,laravel,6
603774118492778883,springmvc,springmvc,20
-3522223837183396362,server,server,13
2695305337569098618,web,web,76
6903485232791761071,zabbix,zabbix,3
-5904698658142210447,bug,bug,14
2128594542511665643,mq,mq,4
666567786754159431,ipad,ipad,1
-4659034257681990730,excel,excel,5
7847537258258185880,jvm,jvm,9
-6861850936062169047,servlet,servlet,12
-2733769994685039948,rpc,rpc,2
-5846950087260686514,rabbitmq,rabbitmq,4
4775248038139805003,webpack,webpack,23
-8638814388602130013,boot,boot,7
-4525159313658004335,code,code,1
-7577602245261838933,logo,logo,1
-7675450448203336984,ip,ip,14
4064891571011074380,div,div,14
2795300993606236170,facebook,facebook,1
411522172308304650,docker,docker,8
-4995287720068695020,scala,scala,4
2768059539183056150,react,react,31
3574787208394128407,flask,flask,2
8584721346566371541,h5,h5,23
-7537657905707207481,jboss,jboss,5
-8102260625013720780,xcode,xcode,3
-7893553258893394166,visio,visio,1
-7702246673281502833,vue,vue,34
-1521781524640025379,sdk,sdk,9
4628177386949784567,oop,oop,3
-4129215337742647371,memcache,memcache,9
3039183585666478258,spring,spring,54
2421156375800528076,zookeeper,zookeeper,6
7484248958687458596,css3,css3,32
-6871805885232958587,dreamweaver,dreamweaver,4
3885007491926212353,ci,ci,2
1359897965706296826,banner,banner,3
-8214467404883938797,selenium,selenium,2
-3869629224220610070,bootstrap,bootstrap,30
-5440734165330348305,yii,yii,5
-8881380130726595018,jdbc,jdbc,1
1695560610886202841,ssh,ssh,2
7429265519267953816,nodejs,nodejs,2
-4784466475620485975,sem,sem,1
-534729352155942409,team,team,1
5371115335115552567,c,c,3
871557107850427658,es6,es6,13
3946370886449903125,node,node,11
8245816881551523383,illustrator,illustrator,10
-1543142750889493407,db2,db2,1
5558406874053753951,com,com,3
2589265509983531627,python,python,47
1033778921950427255,hbase,hbase,14
4462447588911890185,gulp,gulp,15
2273687203114921985,sass,sass,6
-7426124097735608676,spark,spark,13
7744895437826374207,eclipse,eclipse,10
-3700314938593300040,webservice,webservice,5
6328904159831800563,mindmanager,mindmanager,1
-5590869721623546934,maya,maya,1
1108832248229541119,xml,xml,29
2087922859966410869,angularjs,angularjs,14
7057794358978688335,socket,socket,11
-4025442128542614233,google,google,1
-3358320156885107738,springboot,springboot,6
-5835361465413913482,svn,svn,14
-2159857214311285554,linux,linux,62
160009025870183982,hadoop,hadoop,16
5924061942921902842,c4d,c4d,1
-1092374183810287215,mybatis,mybatis,35
-8891087951811101969,storm,storm,5
-7860083176248557588,b,b,1
5647053732965528546,thinkphp,thinkphp,11
-2963289861426299037,experience,experience,3
9150747732172486108,cn,cn,1
-4674365320703232734,github,github,12
-7522256951008805817,communication,communication,1
-1423000256242238038,jsp,jsp,16
6774940305471585130,https,https,1
-8641629872156953748,ps,ps,13
-6082952131478998945,grunt,grunt,12
3869554326824106163,vi,vi,4
-4659302083593487529,websocket,websocket,2
-1036264720951525578,dmax,dmax,2
-2406154927270380003,javascript,javascript,68
-8491974549885993122,ppt,ppt,6
-4288244399130394731,word,word,4
-1788134360438261396,office,office,6
